$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.98,,
0.0,0.0,0.1,0.1,0.984,,
0.0,0.0,0.2,0.2,0.986,,
0.0,0.0,0.3,0.3,0.978,,
0.0,0.0,0.4,0.4,0.982,,
0.0,0.0,0.5,0.5,0.984,,
0.0,0.0,0.6,0.6,0.986,,
0.0,0.0,0.7,0.7,0.976,,
0.0,0.0,0.8,0.8,0.98,,
0.0,0.0,0.9,0.9,0.964,,
0.0,0.0,1.0,1.0,0.982,,
0.0,0.0,1.1,1.1,0.986,,
0.0,0.0,1.2,1.2,0.972,,
0.0,0.0,1.3,1.3,0.97,,
0.0,0.0,1.4,1.4,0.972,,
0.0,0.0,1.5,1.5,0.962,,
0.0,0.0,1.6,1.6,0.958,,
0.0,0.0,1.7,1.7,0.972,,
0.0,0.0,1.8,1.8,0.936,,
0.0,0.0,1.9,1.9,0.956,,
0.0,0.0,2.0,2.0,0.942,,
0.0,0.0,2.1,2.1,0.928,,
0.0,0.0,2.2,2.2,0.944,,
0.0,0.0,2.3,2.3,0.914,,
0.0,0.0,2.4,2.4,0.902,,
0.0,0.0,2.5,2.5,0.904,,
0.0,0.0,2.6,2.6,0.89,,
0.0,0.0,2.7,2.7,0.874,,
0.0,0.0,2.8,2.8,0.868,,
0.0,0.0,2.9,2.9,0.834,,
0.0,0.0,3.0,3.0,0.85,,
0.0,0.0,3.1,3.1,0.826,,
0.0,0.0,3.2,3.2,0.84,,
0.0,0.0,3.3,3.3,0.784,,
0.0,0.0,3.4,3.4,0.758,,
0.0,0.0,3.5,3.5,0.712,,
0.0,0.0,3.6,3.6,0.72,,
0.0,0.0,3.7,3.7,0.736,,
0.0,0.0,3.8,3.8,0.656,,
0.0,0.0,3.9,3.9,0.676,,
0.0,0.0,4.0,4.0,0.632,,
0.0,0.0,4.1,4.1,0.628,,
0.0,0.0,4.2,4.2,0.634,,
0.0,0.0,4.3,4.3,0.614,,
0.0,0.0,4.4,4.4,0.636,,
0.0,0.0,4.5,4.5,0.582,,
0.0,0.0,4.6,4.6,0.636,,
0.0,0.0,4.7,4.7,0.56,,
0.0,0.0,4.8,4.8,0.562,,
0.0,0.0,4.9,4.9,0.518,,
0.0,0.0,5.0,5.0,0.536,,
0.0,0.0,5.1,5.1,0.508,,
0.0,0.0,5.2,5.2,0.532,,
0.0,0.0,5.3,5.3,0.496,,
0.0,0.0,5.4,5.4,0.5,,
0.0,0.0,5.5,5.5,0.534,,
0.0,0.0,5.6,5.6,0.524,,
0.0,0.0,5.7,5.7,0.488,,
0.0,0.0,5.8,5.8,0.51,,
0.0,0.0,5.9,5.9,0.512,,
0.0,0.0,6.0,6.0,0.512,,
0.0,0.0,6.1,6.1,0.478,,
0.0,0.0,6.2,6.2,0.476,,
0.0,0.0,6.3,6.3,0.5,,
0.0,0.0,6.4,6.4,0.496,,
0.0,0.0,6.5,6.5,0.496,,
0.0,0.0,6.6,6.6,0.492,,
0.0,0.0,6.7,6.7,0.512,,
0.0,0.0,6.8,6.8,0.51,,
0.0,0.0,6.9,6.9,0.534,,
0.0,0.0,7.0,7.0,0.516,,
0.0,0.0,7.1,7.1,0.482,,
0.0,0.0,7.2,7.2,0.464,,
0.0,0.0,7.3,7.3,0.54,,
0.0,0.0,7.4,7.4,0.494,,
0.0,0.0,7.5,7.5,0.502,,
0.0,0.0,7.6,7.6,0.5,,
0.0,0.0,7.7,7.7,0.496,,
0.0,0.0,7.8,7.8,0.52,,
0.0,0.0,7.9,7.9,0.516,,
0.0,0.0,8.0,8.0,0.48,,
0.0,0.0,8.1,8.1,0.508,,
0.0,0.0,8.2,8.2,0.5,,
0.0,0.0,8.3,8.3,0.524,,
0.0,0.0,8.4,8.4,0.488,,
0.0,0.0,8.5,8.5,0.552,,
0.0,0.0,8.6,8.6,0.526,,
0.0,0.0,8.7,8.7,0.496,,
0.0,0.0,8.8,8.8,0.554,,
0.0,0.0,8.9,8.9,0.514,,
0.0,0.0,9.0,9.0,0.492,,
0.0,0.0,9.1,9.1,0.506,,
0.0,0.0,9.2,9.2,0.52,,
0.0,0.0,9.3,9.3,0.494,,
0.0,0.0,9.4,9.4,0.47,,
0.0,0.0,9.5,9.5,0.486,,
0.0,0.0,9.6,9.6,0.496,,
0.0,0.0,9.7,9.7,0.514,,
0.0,0.0,9.8,9.8,0.468,,
0.0,0.0,9.9,9.9,0.498,,
0.0,0.0,10.0,10.0,0.478,,
0.0,0.0,10.1,10.1,0.488,,
0.0,0.0,10.2,10.2,0.512,,
0.0,0.0,10.3,10.3,0.47,,
0.0,0.0,10.4,10.4,0.486,,
0.0,0.0,10.5,10.5,0.49,,
0.0,0.0,10.6,10.6,0.454,,
0.0,0.0,10.7,10.7,0.498,,
0.0,0.0,10.8,10.8,0.54,,
0.0,0.0,10.9,10.9,0.502,,
0.0,0.0,11.0,11.0,0.532,,
0.0,0.0,11.1,11.1,0.476,,
0.0,0.0,11.2,11.2,0.506,,
0.0,0.0,11.3,11.3,0.478,,
0.0,0.0,11.4,11.4,0.468,,
0.0,0.0,11.5,11.5,0.508,,
0.0,0.0,11.6,11.6,0.486,,
0.0,0.0,11.7,11.7,0.502,,
0.0,0.0,11.8,11.8,0.51,,
0.0,0.0,11.9,11.9,0.5,,
0.0,0.0,12.0,12.0,0.496,,
0.0,0.0,12.1,12.1,0.506,,
0.0,0.0,12.2,12.2,0.494,,
0.0,0.0,12.3,12.3,0.51,,
0.0,0.0,12.4,12.4,0.514,,
0.0,0.0,12.5,12.5,0.524,,
0.0,0.0,12.6,12.6,0.546,,
0.0,0.0,12.7,12.7,0.526,,
0.0,0.0,12.8,12.8,0.542,,
0.0,0.0,12.9,12.9,0.464,,
0.0,0.0,13.0,13.0,0.514,,
0.0,0.0,13.1,13.1,0.538,,
0.0,0.0,13.2,13.2,0.508,,
0.0,0.0,13.3,13.3,0.476,,
0.0,0.0,13.4,13.4,0.456,,
0.0,0.0,13.5,13.5,0.512,,
0.0,0.0,13.6,13.6,0.518,,
0.0,0.0,13.7,13.7,0.51,,
0.0,0.0,13.8,13.8,0.472,,
0.0,0.0,13.9,13.9,0.452,,
0.0,0.0,14.0,14.0,0.496,,
0.0,0.0,14.1,14.1,0.526,,
0.0,0.0,14.2,14.2,0.492,,
0.0,0.0,14.3,14.3,0.492,,
0.0,0.0,14.4,14.4,0.502,,
0.0,0.0,14.5,14.5,0.52,,
0.0,0.0,14.6,14.6,0.49,,
0.0,0.0,14.7,14.7,0.464,,
0.0,0.0,14.8,14.8,0.518,,
0.0,0.0,14.9,14.9,0.48,,
0.0,0.0,15.0,15.0,0.472,,
0.1,0.1,0.0,0.0,0.974,,
0.1,0.1,0.1,0.1,0.984,,
0.1,0.1,0.2,0.2,0.992,,
0.1,0.1,0.3,0.3,0.98,,
0.1,0.1,0.4,0.4,0.974,,
0.1,0.1,0.5,0.5,0.98,,
0.1,0.1,0.6,0.6,0.98,,
0.1,0.1,0.7,0.7,0.986,,
0.1,0.1,0.8,0.8,0.98,,
0.1,0.1,0.9,0.9,0.986,,
0.1,0.1,1.0,1.0,0.98,,
0.1,0.1,1.1,1.1,0.984,,
0.1,0.1,1.2,1.2,0.972,,
0.1,0.1,1.3,1.3,0.978,,
0.1,0.1,1.4,1.4,0.964,,
0.1,0.1,1.5,1.5,0.964,,
0.1,0.1,1.6,1.6,0.954,,
0.1,0.1,1.7,1.7,0.97,,
0.1,0.1,1.8,1.8,0.948,,
0.1,0.1,1.9,1.9,0.962,,
0.1,0.1,2.0,2.0,0.952,,
0.1,0.1,2.1,2.1,0.938,,
0.1,0.1,2.2,2.2,0.938,,
0.1,0.1,2.3,2.3,0.924,,
0.1,0.1,2.4,2.4,0.928,,
0.1,0.1,2.5,2.5,0.916,,
0.1,0.1,2.6,2.6,0.91,,
0.1,0.1,2.7,2.7,0.896,,
0.1,0.1,2.8,2.8,0.908,,
0.1,0.1,2.9,2.9,0.858,,
0.1,0.1,3.0,3.0,0.844,,
0.1,0.1,3.1,3.1,0.85,,
0.1,0.1,3.2,3.2,0.814,,
0.1,0.1,3.3,3.3,0.742,,
0.1,0.1,3.4,3.4,0.762,,
0.1,0.1,3.5,3.5,0.752,,
0.1,0.1,3.6,3.6,0.72,,
0.1,0.1,3.7,3.7,0.72,,
0.1,0.1,3.8,3.8,0.706,,
0.1,0.1,3.9,3.9,0.706,,
0.1,0.1,4.0,4.0,0.67,,
0.1,0.1,4.1,4.1,0.654,,
0.1,0.1,4.2,4.2,0.622,,
0.1,0.1,4.3,4.3,0.58,,
0.1,0.1,4.4,4.4,0.602,,
0.1,0.1,4.5,4.5,0.612,,
0.1,0.1,4.6,4.6,0.568,,
0.1,0.1,4.7,4.7,0.576,,
0.1,0.1,4.8,4.8,0.544,,
0.1,0.1,4.9,4.9,0.558,,
0.1,0.1,5.0,5.0,0.542,,
0.1,0.1,5.1,5.1,0.498,,
0.1,0.1,5.2,5.2,0.554,,
0.1,0.1,5.3,5.3,0.498,,
0.1,0.1,5.4,5.4,0.502,,
0.1,0.1,5.5,5.5,0.498,,
0.1,0.1,5.6,5.6,0.53,,
0.1,0.1,5.7,5.7,0.518,,
0.1,0.1,5.8,5.8,0.536,,
0.1,0.1,5.9,5.9,0.446,,
0.1,0.1,6.0,6.0,0.48,,
0.1,0.1,6.1,6.1,0.484,,
0.1,0.1,6.2,6.2,0.51,,
0.1,0.1,6.3,6.3,0.506,,
0.1,0.1,6.4,6.4,0.536,,
0.1,0.1,6.5,6.5,0.488,,
0.1,0.1,6.6,6.6,0.468,,
0.1,0.1,6.7,6.7,0.476,,
0.1,0.1,6.8,6.8,0.514,,
0.1,0.1,6.9,6.9,0.51,,
0.1,0.1,7.0,7.0,0.516,,
0.1,0.1,7.1,7.1,0.512,,
0.1,0.1,7.2,7.2,0.438,,
0.1,0.1,7.3,7.3,0.506,,
0.1,0.1,7.4,7.4,0.518,,
0.1,0.1,7.5,7.5,0.49,,
0.1,0.1,7.6,7.6,0.496,,
0.1,0.1,7.7,7.7,0.482,,
0.1,0.1,7.8,7.8,0.502,,
0.1,0.1,7.9,7.9,0.482,,
0.1,0.1,8.0,8.0,0.482,,
0.1,0.1,8.1,8.1,0.504,,
0.1,0.1,8.2,8.2,0.522,,
0.1,0.1,8.3,8.3,0.5,,
0.1,0.1,8.4,8.4,0.504,,
0.1,0.1,8.5,8.5,0.476,,
0.1,0.1,8.6,8.6,0.462,,
0.1,0.1,8.7,8.7,0.496,,
0.1,0.1,8.8,8.8,0.494,,
0.1,0.1,8.9,8.9,0.47,,
0.1,0.1,9.0,9.0,0.498,,
0.1,0.1,9.1,9.1,0.498,,
0.1,0.1,9.2,9.2,0.504,,
0.1,0.1,9.3,9.3,0.488,,
0.1,0.1,9.4,9.4,0.506,,
0.1,0.1,9.5,9.5,0.516,,
0.1,0.1,9.6,9.6,0.512,,
0.1,0.1,9.7,9.7,0.504,,
0.1,0.1,9.8,9.8,0.486,,
0.1,0.1,9.9,9.9,0.494,,
0.1,0.1,10.0,10.0,0.512,,
0.1,0.1,10.1,10.1,0.466,,
0.1,0.1,10.2,10.2,0.518,,
0.1,0.1,10.3,10.3,0.444,,
0.1,0.1,10.4,10.4,0.52,,
0.1,0.1,10.5,10.5,0.5,,
0.1,0.1,10.6,10.6,0.482,,
0.1,0.1,10.7,10.7,0.536,,
0.1,0.1,10.8,10.8,0.478,,
0.1,0.1,10.9,10.9,0.51,,
0.1,0.1,11.0,11.0,0.476,,
0.1,0.1,11.1,11.1,0.538,,
0.1,0.1,11.2,11.2,0.508,,
0.1,0.1,11.3,11.3,0.498,,
0.1,0.1,11.4,11.4,0.54,,
0.1,0.1,11.5,11.5,0.514,,
0.1,0.1,11.6,11.6,0.48,,
0.1,0.1,11.7,11.7,0.534,,
0.1,0.1,11.8,11.8,0.526,,
0.1,0.1,11.9,11.9,0.498,,
0.1,0.1,12.0,12.0,0.524,,
0.1,0.1,12.1,12.1,0.502,,
0.1,0.1,12.2,12.2,0.512,,
0.1,0.1,12.3,12.3,0.534,,
0.1,0.1,12.4,12.4,0.462,,
0.1,0.1,12.5,12.5,0.512,,
0.1,0.1,12.6,12.6,0.498,,
0.1,0.1,12.7,12.7,0.464,,
0.1,0.1,12.8,12.8,0.514,,
0.1,0.1,12.9,12.9,0.484,,
0.1,0.1,13.0,13.0,0.5,,
0.1,0.1,13.1,13.1,0.478,,
0.1,0.1,13.2,13.2,0.506,,
0.1,0.1,13.3,13.3,0.49,,
0.1,0.1,13.4,13.4,0.544,,
0.1,0.1,13.5,13.5,0.518,,
0.1,0.1,13.6,13.6,0.496,,
0.1,0.1,13.7,13.7,0.54,,
0.1,0.1,13.8,13.8,0.528,,
0.1,0.1,13.9,13.9,0.528,,
0.1,0.1,14.0,14.0,0.51,,
0.1,0.1,14.1,14.1,0.49,,
0.1,0.1,14.2,14.2,0.508,,
0.1,0.1,14.3,14.3,0.466,,
0.1,0.1,14.4,14.4,0.492,,
0.1,0.1,14.5,14.5,0.506,,
0.1,0.1,14.6,14.6,0.51,,
0.1,0.1,14.7,14.7,0.502,,
0.1,0.1,14.8,14.8,0.48,,
0.1,0.1,14.9,14.9,0.562,,
0.1,0.1,15.0,15.0,0.516,,
0.2,0.2,0.0,0.0,0.976,,
0.2,0.2,0.1,0.1,0.99,,
0.2,0.2,0.2,0.2,0.976,,
0.2,0.2,0.3,0.3,0.982,,
0.2,0.2,0.4,0.4,0.974,,
0.2,0.2,0.5,0.5,0.98,,
0.2,0.2,0.6,0.6,0.984,,
0.2,0.2,0.7,0.7,0.982,,
0.2,0.2,0.8,0.8,0.972,,
0.2,0.2,0.9,0.9,0.986,,
0.2,0.2,1.0,1.0,0.976,,
0.2,0.2,1.1,1.1,0.978,,
0.2,0.2,1.2,1.2,0.962,,
0.2,0.2,1.3,1.3,0.972,,
0.2,0.2,1.4,1.4,0.982,,
0.2,0.2,1.5,1.5,0.968,,
0.2,0.2,1.6,1.6,0.966,,
0.2,0.2,1.7,1.7,0.952,,
0.2,0.2,1.8,1.8,0.976,,
0.2,0.2,1.9,1.9,0.95,,
0.2,0.2,2.0,2.0,0.962,,
0.2,0.2,2.1,2.1,0.942,,
0.2,0.2,2.2,2.2,0.942,,
0.2,0.2,2.3,2.3,0.932,,
0.2,0.2,2.4,2.4,0.93,,
0.2,0.2,2.5,2.5,0.942,,
0.2,0.2,2.6,2.6,0.884,,
0.2,0.2,2.7,2.7,0.904,,
0.2,0.2,2.8,2.8,0.894,,
0.2,0.2,2.9,2.9,0.88,,
0.2,0.2,3.0,3.0,0.852,,
0.2,0.2,3.1,3.1,0.864,,
0.2,0.2,3.2,3.2,0.826,,
0.2,0.2,3.3,3.3,0.798,,
0.2,0.2,3.4,3.4,0.792,,
0.2,0.2,3.5,3.5,0.804,,
0.2,0.2,3.6,3.6,0.75,,
0.2,0.2,3.7,3.7,0.73,,
0.2,0.2,3.8,3.8,0.722,,
0.2,0.2,3.9,3.9,0.716,,
0.2,0.2,4.0,4.0,0.704,,
0.2,0.2,4.1,4.1,0.668,,
0.2,0.2,4.2,4.2,0.65,,
0.2,0.2,4.3,4.3,0.62,,
0.2,0.2,4.4,4.4,0.586,,
0.2,0.2,4.5,4.5,0.576,,
0.2,0.2,4.6,4.6,0.596,,
0.2,0.2,4.7,4.7,0.572,,
0.2,0.2,4.8,4.8,0.53,,
0.2,0.2,4.9,4.9,0.556,,
0.2,0.2,5.0,5.0,0.57,,
0.2,0.2,5.1,5.1,0.54,,
0.2,0.2,5.2,5.2,0.53,,
0.2,0.2,5.3,5.3,0.52,,
0.2,0.2,5.4,5.4,0.502,,
0.2,0.2,5.5,5.5,0.504,,
0.2,0.2,5.6,5.6,0.514,,
0.2,0.2,5.7,5.7,0.514,,
0.2,0.2,5.8,5.8,0.488,,
0.2,0.2,5.9,5.9,0.5,,
0.2,0.2,6.0,6.0,0.524,,
0.2,0.2,6.1,6.1,0.534,,
0.2,0.2,6.2,6.2,0.466,,
0.2,0.2,6.3,6.3,0.494,,
0.2,0.2,6.4,6.4,0.496,,
0.2,0.2,6.5,6.5,0.51,,
0.2,0.2,6.6,6.6,0.474,,
0.2,0.2,6.7,6.7,0.486,,
0.2,0.2,6.8,6.8,0.48,,
0.2,0.2,6.9,6.9,0.518,,
0.2,0.2,7.0,7.0,0.488,,
0.2,0.2,7.1,7.1,0.508,,
0.2,0.2,7.2,7.2,0.504,,
0.2,0.2,7.3,7.3,0.54,,
0.2,0.2,7.4,7.4,0.508,,
0.2,0.2,7.5,7.5,0.492,,
0.2,0.2,7.6,7.6,0.47,,
0.2,0.2,7.7,7.7,0.508,,
0.2,0.2,7.8,7.8,0.482,,
0.2,0.2,7.9,7.9,0.514,,
0.2,0.2,8.0,8.0,0.516,,
0.2,0.2,8.1,8.1,0.516,,
0.2,0.2,8.2,8.2,0.526,,
0.2,0.2,8.3,8.3,0.486,,
0.2,0.2,8.4,8.4,0.478,,
0.2,0.2,8.5,8.5,0.506,,
0.2,0.2,8.6,8.6,0.476,,
0.2,0.2,8.7,8.7,0.456,,
0.2,0.2,8.8,8.8,0.526,,
0.2,0.2,8.9,8.9,0.478,,
0.2,0.2,9.0,9.0,0.506,,
0.2,0.2,9.1,9.1,0.51,,
0.2,0.2,9.2,9.2,0.516,,
0.2,0.2,9.3,9.3,0.494,,
0.2,0.2,9.4,9.4,0.512,,
0.2,0.2,9.5,9.5,0.522,,
0.2,0.2,9.6,9.6,0.49,,
0.2,0.2,9.7,9.7,0.5,,
0.2,0.2,9.8,9.8,0.476,,
0.2,0.2,9.9,9.9,0.488,,
0.2,0.2,10.0,10.0,0.514,,
0.2,0.2,10.1,10.1,0.476,,
0.2,0.2,10.2,10.2,0.494,,
0.2,0.2,10.3,10.3,0.51,,
0.2,0.2,10.4,10.4,0.462,,
0.2,0.2,10.5,10.5,0.494,,
0.2,0.2,10.6,10.6,0.494,,
0.2,0.2,10.7,10.7,0.5,,
0.2,0.2,10.8,10.8,0.512,,
0.2,0.2,10.9,10.9,0.52,,
0.2,0.2,11.0,11.0,0.498,,
0.2,0.2,11.1,11.1,0.526,,
0.2,0.2,11.2,11.2,0.5,,
0.2,0.2,11.3,11.3,0.462,,
0.2,0.2,11.4,11.4,0.464,,
0.2,0.2,11.5,11.5,0.49,,
0.2,0.2,11.6,11.6,0.538,,
0.2,0.2,11.7,11.7,0.534,,
0.2,0.2,11.8,11.8,0.558,,
0.2,0.2,11.9,11.9,0.506,,
0.2,0.2,12.0,12.0,0.48,,
0.2,0.2,12.1,12.1,0.478,,
0.2,0.2,12.2,12.2,0.516,,
0.2,0.2,12.3,12.3,0.5,,
0.2,0.2,12.4,12.4,0.536,,
0.2,0.2,12.5,12.5,0.52,,
0.2,0.2,12.6,12.6,0.476,,
0.2,0.2,12.7,12.7,0.496,,
0.2,0.2,12.8,12.8,0.508,,
0.2,0.2,12.9,12.9,0.514,,
0.2,0.2,13.0,13.0,0.514,,
0.2,0.2,13.1,13.1,0.514,,
0.2,0.2,13.2,13.2,0.436,,
0.2,0.2,13.3,13.3,0.518,,
0.2,0.2,13.4,13.4,0.534,,
0.2,0.2,13.5,13.5,0.5,,
0.2,0.2,13.6,13.6,0.456,,
0.2,0.2,13.7,13.7,0.536,,
0.2,0.2,13.8,13.8,0.524,,
0.2,0.2,13.9,13.9,0.522,,
0.2,0.2,14.0,14.0,0.516,,
0.2,0.2,14.1,14.1,0.522,,
0.2,0.2,14.2,14.2,0.46,,
0.2,0.2,14.3,14.3,0.486,,
0.2,0.2,14.4,14.4,0.51,,
0.2,0.2,14.5,14.5,0.492,,
0.2,0.2,14.6,14.6,0.506,,
0.2,0.2,14.7,14.7,0.5,,
0.2,0.2,14.8,14.8,0.522,,
0.2,0.2,14.9,14.9,0.498,,
0.2,0.2,15.0,15.0,0.478,,
0.3,0.3,0.0,0.0,0.976,,
0.3,0.3,0.1,0.1,0.99,,
0.3,0.3,0.2,0.2,0.976,,
0.3,0.3,0.3,0.3,0.986,,
0.3,0.3,0.4,0.4,0.98,,
0.3,0.3,0.5,0.5,0.986,,
0.3,0.3,0.6,0.6,0.98,,
0.3,0.3,0.7,0.7,0.992,,
0.3,0.3,0.8,0.8,0.976,,
0.3,0.3,0.9,0.9,0.978,,
0.3,0.3,1.0,1.0,0.986,,
0.3,0.3,1.1,1.1,0.982,,
0.3,0.3,1.2,1.2,0.964,,
0.3,0.3,1.3,1.3,0.98,,
0.3,0.3,1.4,1.4,0.98,,
0.3,0.3,1.5,1.5,0.978,,
0.3,0.3,1.6,1.6,0.972,,
0.3,0.3,1.7,1.7,0.966,,
0.3,0.3,1.8,1.8,0.954,,
0.3,0.3,1.9,1.9,0.962,,
0.3,0.3,2.0,2.0,0.948,,
0.3,0.3,2.1,2.1,0.954,,
0.3,0.3,2.2,2.2,0.944,,
0.3,0.3,2.3,2.3,0.946,,
0.3,0.3,2.4,2.4,0.944,,
0.3,0.3,2.5,2.5,0.924,,
0.3,0.3,2.6,2.6,0.908,,
0.3,0.3,2.7,2.7,0.914,,
0.3,0.3,2.8,2.8,0.87,,
0.3,0.3,2.9,2.9,0.888,,
0.3,0.3,3.0,3.0,0.856,,
0.3,0.3,3.1,3.1,0.854,,
0.3,0.3,3.2,3.2,0.854,,
0.3,0.3,3.3,3.3,0.842,,
0.3,0.3,3.4,3.4,0.798,,
0.3,0.3,3.5,3.5,0.816,,
0.3,0.3,3.6,3.6,0.806,,
0.3,0.3,3.7,3.7,0.752,,
0.3,0.3,3.8,3.8,0.72,,
0.3,0.3,3.9,3.9,0.75,,
0.3,0.3,4.0,4.0,0.678,,
0.3,0.3,4.1,4.1,0.672,,
0.3,0.3,4.2,4.2,0.608,,
0.3,0.3,4.3,4.3,0.626,,
0.3,0.3,4.4,4.4,0.61,,
0.3,0.3,4.5,4.5,0.596,,
0.3,0.3,4.6,4.6,0.602,,
0.3,0.3,4.7,4.7,0.584,,
0.3,0.3,4.8,4.8,0.594,,
0.3,0.3,4.9,4.9,0.574,,
0.3,0.3,5.0,5.0,0.538,,
0.3,0.3,5.1,5.1,0.528,,
0.3,0.3,5.2,5.2,0.532,,
0.3,0.3,5.3,5.3,0.568,,
0.3,0.3,5.4,5.4,0.55,,
0.3,0.3,5.5,5.5,0.52,,
0.3,0.3,5.6,5.6,0.536,,
0.3,0.3,5.7,5.7,0.538,,
0.3,0.3,5.8,5.8,0.538,,
0.3,0.3,5.9,5.9,0.534,,
0.3,0.3,6.0,6.0,0.5,,
0.3,0.3,6.1,6.1,0.482,,
0.3,0.3,6.2,6.2,0.472,,
0.3,0.3,6.3,6.3,0.47,,
0.3,0.3,6.4,6.4,0.51,,
0.3,0.3,6.5,6.5,0.49,,
0.3,0.3,6.6,6.6,0.482,,
0.3,0.3,6.7,6.7,0.478,,
0.3,0.3,6.8,6.8,0.48,,
0.3,0.3,6.9,6.9,0.484,,
0.3,0.3,7.0,7.0,0.496,,
0.3,0.3,7.1,7.1,0.478,,
0.3,0.3,7.2,7.2,0.506,,
0.3,0.3,7.3,7.3,0.482,,
0.3,0.3,7.4,7.4,0.504,,
0.3,0.3,7.5,7.5,0.512,,
0.3,0.3,7.6,7.6,0.492,,
0.3,0.3,7.7,7.7,0.492,,
0.3,0.3,7.8,7.8,0.504,,
0.3,0.3,7.9,7.9,0.452,,
0.3,0.3,8.0,8.0,0.5,,
0.3,0.3,8.1,8.1,0.498,,
0.3,0.3,8.2,8.2,0.516,,
0.3,0.3,8.3,8.3,0.454,,
0.3,0.3,8.4,8.4,0.548,,
0.3,0.3,8.5,8.5,0.476,,
0.3,0.3,8.6,8.6,0.534,,
0.3,0.3,8.7,8.7,0.544,,
0.3,0.3,8.8,8.8,0.506,,
0.3,0.3,8.9,8.9,0.492,,
0.3,0.3,9.0,9.0,0.516,,
0.3,0.3,9.1,9.1,0.514,,
0.3,0.3,9.2,9.2,0.508,,
0.3,0.3,9.3,9.3,0.506,,
0.3,0.3,9.4,9.4,0.478,,
0.3,0.3,9.5,9.5,0.478,,
0.3,0.3,9.6,9.6,0.486,,
0.3,0.3,9.7,9.7,0.51,,
0.3,0.3,9.8,9.8,0.482,,
0.3,0.3,9.9,9.9,0.51,,
0.3,0.3,10.0,10.0,0.468,,
0.3,0.3,10.1,10.1,0.496,,
0.3,0.3,10.2,10.2,0.49,,
0.3,0.3,10.3,10.3,0.522,,
0.3,0.3,10.4,10.4,0.476,,
0.3,0.3,10.5,10.5,0.53,,
0.3,0.3,10.6,10.6,0.498,,
0.3,0.3,10.7,10.7,0.496,,
0.3,0.3,10.8,10.8,0.498,,
0.3,0.3,10.9,10.9,0.502,,
0.3,0.3,11.0,11.0,0.466,,
0.3,0.3,11.1,11.1,0.474,,
0.3,0.3,11.2,11.2,0.52,,
0.3,0.3,11.3,11.3,0.49,,
0.3,0.3,11.4,11.4,0.514,,
0.3,0.3,11.5,11.5,0.484,,
0.3,0.3,11.6,11.6,0.466,,
0.3,0.3,11.7,11.7,0.532,,
0.3,0.3,11.8,11.8,0.492,,
0.3,0.3,11.9,11.9,0.522,,
0.3,0.3,12.0,12.0,0.48,,
0.3,0.3,12.1,12.1,0.502,,
0.3,0.3,12.2,12.2,0.518,,
0.3,0.3,12.3,12.3,0.486,,
0.3,0.3,12.4,12.4,0.482,,
0.3,0.3,12.5,12.5,0.49,,
0.3,0.3,12.6,12.6,0.514,,
0.3,0.3,12.7,12.7,0.506,,
0.3,0.3,12.8,12.8,0.488,,
0.3,0.3,12.9,12.9,0.5,,
0.3,0.3,13.0,13.0,0.496,,
0.3,0.3,13.1,13.1,0.486,,
0.3,0.3,13.2,13.2,0.486,,
0.3,0.3,13.3,13.3,0.49,,
0.3,0.3,13.4,13.4,0.51,,
0.3,0.3,13.5,13.5,0.52,,
0.3,0.3,13.6,13.6,0.508,,
0.3,0.3,13.7,13.7,0.496,,
0.3,0.3,13.8,13.8,0.484,,
0.3,0.3,13.9,13.9,0.502,,
0.3,0.3,14.0,14.0,0.484,,
0.3,0.3,14.1,14.1,0.51,,
0.3,0.3,14.2,14.2,0.524,,
0.3,0.3,14.3,14.3,0.508,,
0.3,0.3,14.4,14.4,0.522,,
0.3,0.3,14.5,14.5,0.472,,
0.3,0.3,14.6,14.6,0.464,,
0.3,0.3,14.7,14.7,0.504,,
0.3,0.3,14.8,14.8,0.508,,
0.3,0.3,14.9,14.9,0.466,,
0.3,0.3,15.0,15.0,0.49,,
0.4,0.4,0.0,0.0,0.976,,
0.4,0.4,0.1,0.1,0.972,,
0.4,0.4,0.2,0.2,0.984,,
0.4,0.4,0.3,0.3,0.98,,
0.4,0.4,0.4,0.4,0.978,,
0.4,0.4,0.5,0.5,0.99,,
0.4,0.4,0.6,0.6,0.978,,
0.4,0.4,0.7,0.7,0.974,,
0.4,0.4,0.8,0.8,0.988,,
0.4,0.4,0.9,0.9,0.978,,
0.4,0.4,1.0,1.0,0.992,,
0.4,0.4,1.1,1.1,0.976,,
0.4,0.4,1.2,1.2,0.976,,
0.4,0.4,1.3,1.3,0.97,,
0.4,0.4,1.4,1.4,0.98,,
0.4,0.4,1.5,1.5,0.968,,
0.4,0.4,1.6,1.6,0.982,,
0.4,0.4,1.7,1.7,0.95,,
0.4,0.4,1.8,1.8,0.962,,
0.4,0.4,1.9,1.9,0.964,,
0.4,0.4,2.0,2.0,0.96,,
0.4,0.4,2.1,2.1,0.968,,
0.4,0.4,2.2,2.2,0.966,,
0.4,0.4,2.3,2.3,0.932,,
0.4,0.4,2.4,2.4,0.92,,
0.4,0.4,2.5,2.5,0.938,,
0.4,0.4,2.6,2.6,0.912,,
0.4,0.4,2.7,2.7,0.93,,
