$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.654
0.0,0.0,0.1,0.1,0.69
0.0,0.0,0.2,0.2,0.672
0.0,0.0,0.3,0.3,0.638
0.0,0.0,0.4,0.4,0.664
0.0,0.0,0.5,0.5,0.68
0.0,0.0,0.6,0.6,0.664
0.0,0.0,0.7,0.7,0.634
0.0,0.0,0.8,0.8,0.648
0.0,0.0,0.9,0.9,0.658
0.0,0.0,1.0,1.0,0.66
0.0,0.0,1.1,1.1,0.682
0.0,0.0,1.2,1.2,0.658
0.0,0.0,1.3,1.3,0.646
0.0,0.0,1.4,1.4,0.644
0.0,0.0,1.5,1.5,0.646
0.0,0.0,1.6,1.6,0.684
0.0,0.0,1.7,1.7,0.654
0.0,0.0,1.8,1.8,0.646
0.0,0.0,1.9,1.9,0.636
0.0,0.0,2.0,2.0,0.596
0.0,0.0,2.1,2.1,0.654
0.0,0.0,2.2,2.2,0.65
0.0,0.0,2.3,2.3,0.64
0.0,0.0,2.4,2.4,0.636
0.0,0.0,2.5,2.5,0.646
0.0,0.0,2.6,2.6,0.658
0.0,0.0,2.7,2.7,0.624
0.0,0.0,2.8,2.8,0.62
0.0,0.0,2.9,2.9,0.624
0.0,0.0,3.0,3.0,0.61
0.0,0.0,3.1,3.1,0.64
0.0,0.0,3.2,3.2,0.626
0.0,0.0,3.3,3.3,0.63
0.0,0.0,3.4,3.4,0.616
0.0,0.0,3.5,3.5,0.608
0.0,0.0,3.6,3.6,0.57
0.0,0.0,3.7,3.7,0.618
0.0,0.0,3.8,3.8,0.63
0.0,0.0,3.9,3.9,0.562
0.0,0.0,4.0,4.0,0.624
0.0,0.0,4.1,4.1,0.58
0.0,0.0,4.2,4.2,0.612
0.0,0.0,4.3,4.3,0.596
0.0,0.0,4.4,4.4,0.62
0.0,0.0,4.5,4.5,0.598
0.0,0.0,4.6,4.6,0.596
0.0,0.0,4.7,4.7,0.592
0.0,0.0,4.8,4.8,0.624
0.0,0.0,4.9,4.9,0.544
0.0,0.0,5.0,5.0,0.608
0.0,0.0,5.1,5.1,0.568
0.0,0.0,5.2,5.2,0.568
0.0,0.0,5.3,5.3,0.576
0.0,0.0,5.4,5.4,0.584
0.0,0.0,5.5,5.5,0.568
0.0,0.0,5.6,5.6,0.59
0.0,0.0,5.7,5.7,0.55
0.0,0.0,5.8,5.8,0.6
0.0,0.0,5.9,5.9,0.574
0.0,0.0,6.0,6.0,0.56
0.0,0.0,6.1,6.1,0.598
0.0,0.0,6.2,6.2,0.556
0.0,0.0,6.3,6.3,0.562
0.0,0.0,6.4,6.4,0.542
0.0,0.0,6.5,6.5,0.534
0.0,0.0,6.6,6.6,0.6
0.0,0.0,6.7,6.7,0.558
0.0,0.0,6.8,6.8,0.562
0.0,0.0,6.9,6.9,0.488
0.0,0.0,7.0,7.0,0.52
0.0,0.0,7.1,7.1,0.56
0.0,0.0,7.2,7.2,0.508
0.0,0.0,7.3,7.3,0.514
0.0,0.0,7.4,7.4,0.482
0.0,0.0,7.5,7.5,0.528
0.0,0.0,7.6,7.6,0.526
0.0,0.0,7.7,7.7,0.514
0.0,0.0,7.8,7.8,0.486
0.0,0.0,7.9,7.9,0.504
0.0,0.0,8.0,8.0,0.514
0.0,0.0,8.1,8.1,0.496
0.0,0.0,8.2,8.2,0.494
0.0,0.0,8.3,8.3,0.482
0.0,0.0,8.4,8.4,0.474
0.0,0.0,8.5,8.5,0.478
0.0,0.0,8.6,8.6,0.478
0.0,0.0,8.7,8.7,0.444
0.0,0.0,8.8,8.8,0.448
0.0,0.0,8.9,8.9,0.43
0.0,0.0,9.0,9.0,0.452
0.0,0.0,9.1,9.1,0.47
0.0,0.0,9.2,9.2,0.414
0.0,0.0,9.3,9.3,0.464
0.0,0.0,9.4,9.4,0.434
0.0,0.0,9.5,9.5,0.45
0.0,0.0,9.6,9.6,0.438
0.0,0.0,9.7,9.7,0.41
0.0,0.0,9.8,9.8,0.43
0.0,0.0,9.9,9.9,0.4
0.0,0.0,10.0,10.0,0.388
0.0,0.0,10.1,10.1,0.452
0.0,0.0,10.2,10.2,0.396
0.0,0.0,10.3,10.3,0.404
0.0,0.0,10.4,10.4,0.402
0.0,0.0,10.5,10.5,0.352
0.0,0.0,10.6,10.6,0.39
0.0,0.0,10.7,10.7,0.368
0.0,0.0,10.8,10.8,0.384
0.0,0.0,10.9,10.9,0.372
0.0,0.0,11.0,11.0,0.366
0.0,0.0,11.1,11.1,0.362
0.0,0.0,11.2,11.2,0.364
0.0,0.0,11.3,11.3,0.35
0.0,0.0,11.4,11.4,0.336
0.0,0.0,11.5,11.5,0.332
0.0,0.0,11.6,11.6,0.338
0.0,0.0,11.7,11.7,0.332
0.0,0.0,11.8,11.8,0.324
0.0,0.0,11.9,11.9,0.356
0.0,0.0,12.0,12.0,0.322
0.0,0.0,12.1,12.1,0.328
0.0,0.0,12.2,12.2,0.316
0.0,0.0,12.3,12.3,0.292
0.0,0.0,12.4,12.4,0.314
0.0,0.0,12.5,12.5,0.31
0.0,0.0,12.6,12.6,0.3
0.0,0.0,12.7,12.7,0.278
0.0,0.0,12.8,12.8,0.296
0.0,0.0,12.9,12.9,0.262
0.0,0.0,13.0,13.0,0.28
0.0,0.0,13.1,13.1,0.312
0.0,0.0,13.2,13.2,0.266
0.0,0.0,13.3,13.3,0.24
0.0,0.0,13.4,13.4,0.278
0.0,0.0,13.5,13.5,0.28
0.0,0.0,13.6,13.6,0.256
0.0,0.0,13.7,13.7,0.27
0.0,0.0,13.8,13.8,0.242
0.0,0.0,13.9,13.9,0.248
0.0,0.0,14.0,14.0,0.24
0.0,0.0,14.1,14.1,0.242
0.0,0.0,14.2,14.2,0.27
0.0,0.0,14.3,14.3,0.248
0.0,0.0,14.4,14.4,0.22
0.0,0.0,14.5,14.5,0.224
0.0,0.0,14.6,14.6,0.222
0.0,0.0,14.7,14.7,0.22
0.0,0.0,14.8,14.8,0.232
0.0,0.0,14.9,14.9,0.24
0.0,0.0,15.0,15.0,0.204
0.1,0.1,0.0,0.0,0.67
0.1,0.1,0.1,0.1,0.69
0.1,0.1,0.2,0.2,0.642
0.1,0.1,0.3,0.3,0.666
0.1,0.1,0.4,0.4,0.678
0.1,0.1,0.5,0.5,0.622
0.1,0.1,0.6,0.6,0.664
0.1,0.1,0.7,0.7,0.704
0.1,0.1,0.8,0.8,0.648
0.1,0.1,0.9,0.9,0.656
0.1,0.1,1.0,1.0,0.664
0.1,0.1,1.1,1.1,0.63
0.1,0.1,1.2,1.2,0.658
0.1,0.1,1.3,1.3,0.678
0.1,0.1,1.4,1.4,0.668
0.1,0.1,1.5,1.5,0.652
0.1,0.1,1.6,1.6,0.616
0.1,0.1,1.7,1.7,0.65
0.1,0.1,1.8,1.8,0.65
0.1,0.1,1.9,1.9,0.642
0.1,0.1,2.0,2.0,0.68
0.1,0.1,2.1,2.1,0.664
0.1,0.1,2.2,2.2,0.632
0.1,0.1,2.3,2.3,0.674
0.1,0.1,2.4,2.4,0.624
0.1,0.1,2.5,2.5,0.634
0.1,0.1,2.6,2.6,0.614
0.1,0.1,2.7,2.7,0.634
0.1,0.1,2.8,2.8,0.652
0.1,0.1,2.9,2.9,0.622
0.1,0.1,3.0,3.0,0.604
0.1,0.1,3.1,3.1,0.6
0.1,0.1,3.2,3.2,0.66
0.1,0.1,3.3,3.3,0.628
0.1,0.1,3.4,3.4,0.63
0.1,0.1,3.5,3.5,0.646
0.1,0.1,3.6,3.6,0.606
0.1,0.1,3.7,3.7,0.606
0.1,0.1,3.8,3.8,0.65
0.1,0.1,3.9,3.9,0.61
0.1,0.1,4.0,4.0,0.654
0.1,0.1,4.1,4.1,0.62
0.1,0.1,4.2,4.2,0.634
0.1,0.1,4.3,4.3,0.638
0.1,0.1,4.4,4.4,0.602
0.1,0.1,4.5,4.5,0.61
0.1,0.1,4.6,4.6,0.598
0.1,0.1,4.7,4.7,0.596
0.1,0.1,4.8,4.8,0.608
0.1,0.1,4.9,4.9,0.582
0.1,0.1,5.0,5.0,0.62
0.1,0.1,5.1,5.1,0.598
0.1,0.1,5.2,5.2,0.614
0.1,0.1,5.3,5.3,0.61
0.1,0.1,5.4,5.4,0.566
0.1,0.1,5.5,5.5,0.578
0.1,0.1,5.6,5.6,0.562
0.1,0.1,5.7,5.7,0.6
0.1,0.1,5.8,5.8,0.57
0.1,0.1,5.9,5.9,0.578
0.1,0.1,6.0,6.0,0.568
0.1,0.1,6.1,6.1,0.562
0.1,0.1,6.2,6.2,0.564
0.1,0.1,6.3,6.3,0.552
0.1,0.1,6.4,6.4,0.556
0.1,0.1,6.5,6.5,0.556
0.1,0.1,6.6,6.6,0.55
0.1,0.1,6.7,6.7,0.514
0.1,0.1,6.8,6.8,0.558
0.1,0.1,6.9,6.9,0.504
0.1,0.1,7.0,7.0,0.548
0.1,0.1,7.1,7.1,0.512
0.1,0.1,7.2,7.2,0.54
0.1,0.1,7.3,7.3,0.514
0.1,0.1,7.4,7.4,0.476
0.1,0.1,7.5,7.5,0.57
0.1,0.1,7.6,7.6,0.492
0.1,0.1,7.7,7.7,0.52
0.1,0.1,7.8,7.8,0.544
0.1,0.1,7.9,7.9,0.518
0.1,0.1,8.0,8.0,0.478
0.1,0.1,8.1,8.1,0.502
0.1,0.1,8.2,8.2,0.502
0.1,0.1,8.3,8.3,0.438
0.1,0.1,8.4,8.4,0.454
0.1,0.1,8.5,8.5,0.498
0.1,0.1,8.6,8.6,0.488
0.1,0.1,8.7,8.7,0.464
0.1,0.1,8.8,8.8,0.48
0.1,0.1,8.9,8.9,0.484
0.1,0.1,9.0,9.0,0.456
0.1,0.1,9.1,9.1,0.43
0.1,0.1,9.2,9.2,0.43
0.1,0.1,9.3,9.3,0.446
0.1,0.1,9.4,9.4,0.45
0.1,0.1,9.5,9.5,0.448
0.1,0.1,9.6,9.6,0.428
0.1,0.1,9.7,9.7,0.422
0.1,0.1,9.8,9.8,0.392
0.1,0.1,9.9,9.9,0.418
0.1,0.1,10.0,10.0,0.456
0.1,0.1,10.1,10.1,0.436
0.1,0.1,10.2,10.2,0.408
0.1,0.1,10.3,10.3,0.412
0.1,0.1,10.4,10.4,0.4
0.1,0.1,10.5,10.5,0.39
0.1,0.1,10.6,10.6,0.398
0.1,0.1,10.7,10.7,0.396
0.1,0.1,10.8,10.8,0.34
0.1,0.1,10.9,10.9,0.384
0.1,0.1,11.0,11.0,0.354
0.1,0.1,11.1,11.1,0.386
0.1,0.1,11.2,11.2,0.354
0.1,0.1,11.3,11.3,0.378
0.1,0.1,11.4,11.4,0.366
0.1,0.1,11.5,11.5,0.36
0.1,0.1,11.6,11.6,0.312
0.1,0.1,11.7,11.7,0.314
0.1,0.1,11.8,11.8,0.35
0.1,0.1,11.9,11.9,0.376
0.1,0.1,12.0,12.0,0.35
0.1,0.1,12.1,12.1,0.29
0.1,0.1,12.2,12.2,0.306
0.1,0.1,12.3,12.3,0.34
0.1,0.1,12.4,12.4,0.304
0.1,0.1,12.5,12.5,0.302
0.1,0.1,12.6,12.6,0.302
0.1,0.1,12.7,12.7,0.278
0.1,0.1,12.8,12.8,0.312
0.1,0.1,12.9,12.9,0.278
0.1,0.1,13.0,13.0,0.264
0.1,0.1,13.1,13.1,0.258
0.1,0.1,13.2,13.2,0.234
0.1,0.1,13.3,13.3,0.262
0.1,0.1,13.4,13.4,0.256
0.1,0.1,13.5,13.5,0.24
0.1,0.1,13.6,13.6,0.252
0.1,0.1,13.7,13.7,0.262
0.1,0.1,13.8,13.8,0.266
0.1,0.1,13.9,13.9,0.298
0.1,0.1,14.0,14.0,0.252
0.1,0.1,14.1,14.1,0.278
0.1,0.1,14.2,14.2,0.238
0.1,0.1,14.3,14.3,0.254
0.1,0.1,14.4,14.4,0.248
0.1,0.1,14.5,14.5,0.232
0.1,0.1,14.6,14.6,0.244
0.1,0.1,14.7,14.7,0.186
0.1,0.1,14.8,14.8,0.206
0.1,0.1,14.9,14.9,0.234
0.1,0.1,15.0,15.0,0.25
0.2,0.2,0.0,0.0,0.648
0.2,0.2,0.1,0.1,0.598
0.2,0.2,0.2,0.2,0.632
0.2,0.2,0.3,0.3,0.658
0.2,0.2,0.4,0.4,0.636
0.2,0.2,0.5,0.5,0.656
0.2,0.2,0.6,0.6,0.632
0.2,0.2,0.7,0.7,0.686
0.2,0.2,0.8,0.8,0.652
0.2,0.2,0.9,0.9,0.648
0.2,0.2,1.0,1.0,0.67
0.2,0.2,1.1,1.1,0.66
0.2,0.2,1.2,1.2,0.634
0.2,0.2,1.3,1.3,0.65
0.2,0.2,1.4,1.4,0.648
0.2,0.2,1.5,1.5,0.666
0.2,0.2,1.6,1.6,0.67
0.2,0.2,1.7,1.7,0.652
0.2,0.2,1.8,1.8,0.67
0.2,0.2,1.9,1.9,0.65
0.2,0.2,2.0,2.0,0.64
0.2,0.2,2.1,2.1,0.632
0.2,0.2,2.2,2.2,0.62
0.2,0.2,2.3,2.3,0.644
0.2,0.2,2.4,2.4,0.638
0.2,0.2,2.5,2.5,0.634
0.2,0.2,2.6,2.6,0.608
0.2,0.2,2.7,2.7,0.632
0.2,0.2,2.8,2.8,0.616
0.2,0.2,2.9,2.9,0.634
0.2,0.2,3.0,3.0,0.604
0.2,0.2,3.1,3.1,0.648
0.2,0.2,3.2,3.2,0.63
0.2,0.2,3.3,3.3,0.648
0.2,0.2,3.4,3.4,0.63
0.2,0.2,3.5,3.5,0.632
0.2,0.2,3.6,3.6,0.614
0.2,0.2,3.7,3.7,0.674
0.2,0.2,3.8,3.8,0.636
0.2,0.2,3.9,3.9,0.618
0.2,0.2,4.0,4.0,0.598
0.2,0.2,4.1,4.1,0.622
0.2,0.2,4.2,4.2,0.62
0.2,0.2,4.3,4.3,0.592
0.2,0.2,4.4,4.4,0.594
0.2,0.2,4.5,4.5,0.614
0.2,0.2,4.6,4.6,0.576
0.2,0.2,4.7,4.7,0.636
0.2,0.2,4.8,4.8,0.616
0.2,0.2,4.9,4.9,0.57
0.2,0.2,5.0,5.0,0.638
0.2,0.2,5.1,5.1,0.63
0.2,0.2,5.2,5.2,0.596
0.2,0.2,5.3,5.3,0.618
0.2,0.2,5.4,5.4,0.588
0.2,0.2,5.5,5.5,0.582
0.2,0.2,5.6,5.6,0.626
0.2,0.2,5.7,5.7,0.594
0.2,0.2,5.8,5.8,0.586
0.2,0.2,5.9,5.9,0.638
0.2,0.2,6.0,6.0,0.55
0.2,0.2,6.1,6.1,0.614
0.2,0.2,6.2,6.2,0.596
0.2,0.2,6.3,6.3,0.556
0.2,0.2,6.4,6.4,0.534
0.2,0.2,6.5,6.5,0.5
0.2,0.2,6.6,6.6,0.554
0.2,0.2,6.7,6.7,0.53
0.2,0.2,6.8,6.8,0.584
0.2,0.2,6.9,6.9,0.526
0.2,0.2,7.0,7.0,0.496
0.2,0.2,7.1,7.1,0.548
0.2,0.2,7.2,7.2,0.524
0.2,0.2,7.3,7.3,0.584
0.2,0.2,7.4,7.4,0.548
0.2,0.2,7.5,7.5,0.54
0.2,0.2,7.6,7.6,0.506
0.2,0.2,7.7,7.7,0.526
0.2,0.2,7.8,7.8,0.53
0.2,0.2,7.9,7.9,0.518
0.2,0.2,8.0,8.0,0.512
0.2,0.2,8.1,8.1,0.512
0.2,0.2,8.2,8.2,0.512
0.2,0.2,8.3,8.3,0.512
0.2,0.2,8.4,8.4,0.488
0.2,0.2,8.5,8.5,0.488
0.2,0.2,8.6,8.6,0.494
0.2,0.2,8.7,8.7,0.462
0.2,0.2,8.8,8.8,0.482
0.2,0.2,8.9,8.9,0.49
0.2,0.2,9.0,9.0,0.464
0.2,0.2,9.1,9.1,0.49
0.2,0.2,9.2,9.2,0.466
0.2,0.2,9.3,9.3,0.488
0.2,0.2,9.4,9.4,0.426
0.2,0.2,9.5,9.5,0.426
0.2,0.2,9.6,9.6,0.46
0.2,0.2,9.7,9.7,0.416
0.2,0.2,9.8,9.8,0.402
0.2,0.2,9.9,9.9,0.398
0.2,0.2,10.0,10.0,0.446
0.2,0.2,10.1,10.1,0.428
0.2,0.2,10.2,10.2,0.4
0.2,0.2,10.3,10.3,0.386
0.2,0.2,10.4,10.4,0.384
0.2,0.2,10.5,10.5,0.392
0.2,0.2,10.6,10.6,0.41
0.2,0.2,10.7,10.7,0.368
0.2,0.2,10.8,10.8,0.336
0.2,0.2,10.9,10.9,0.382
0.2,0.2,11.0,11.0,0.354
0.2,0.2,11.1,11.1,0.346
0.2,0.2,11.2,11.2,0.366
0.2,0.2,11.3,11.3,0.334
0.2,0.2,11.4,11.4,0.35
0.2,0.2,11.5,11.5,0.37
0.2,0.2,11.6,11.6,0.318
0.2,0.2,11.7,11.7,0.328
0.2,0.2,11.8,11.8,0.33
0.2,0.2,11.9,11.9,0.32
0.2,0.2,12.0,12.0,0.3
0.2,0.2,12.1,12.1,0.348
0.2,0.2,12.2,12.2,0.336
0.2,0.2,12.3,12.3,0.296
0.2,0.2,12.4,12.4,0.292
0.2,0.2,12.5,12.5,0.308
0.2,0.2,12.6,12.6,0.284
0.2,0.2,12.7,12.7,0.352
0.2,0.2,12.8,12.8,0.268
0.2,0.2,12.9,12.9,0.276
0.2,0.2,13.0,13.0,0.304
0.2,0.2,13.1,13.1,0.236
0.2,0.2,13.2,13.2,0.236
0.2,0.2,13.3,13.3,0.246
0.2,0.2,13.4,13.4,0.286
0.2,0.2,13.5,13.5,0.276
0.2,0.2,13.6,13.6,0.276
0.2,0.2,13.7,13.7,0.25
0.2,0.2,13.8,13.8,0.258
0.2,0.2,13.9,13.9,0.262
0.2,0.2,14.0,14.0,0.252
0.2,0.2,14.1,14.1,0.208
0.2,0.2,14.2,14.2,0.236
0.2,0.2,14.3,14.3,0.222
0.2,0.2,14.4,14.4,0.234
0.2,0.2,14.5,14.5,0.22
0.2,0.2,14.6,14.6,0.262
0.2,0.2,14.7,14.7,0.242
0.2,0.2,14.8,14.8,0.22
0.2,0.2,14.9,14.9,0.23
0.2,0.2,15.0,15.0,0.244
0.3,0.3,0.0,0.0,0.648
0.3,0.3,0.1,0.1,0.684
0.3,0.3,0.2,0.2,0.654
0.3,0.3,0.3,0.3,0.69
0.3,0.3,0.4,0.4,0.708
0.3,0.3,0.5,0.5,0.666
0.3,0.3,0.6,0.6,0.688
0.3,0.3,0.7,0.7,0.628
0.3,0.3,0.8,0.8,0.662
0.3,0.3,0.9,0.9,0.666
0.3,0.3,1.0,1.0,0.662
0.3,0.3,1.1,1.1,0.656
0.3,0.3,1.2,1.2,0.646
0.3,0.3,1.3,1.3,0.66
0.3,0.3,1.4,1.4,0.668
0.3,0.3,1.5,1.5,0.682
0.3,0.3,1.6,1.6,0.664
0.3,0.3,1.7,1.7,0.672
0.3,0.3,1.8,1.8,0.628
0.3,0.3,1.9,1.9,0.676
0.3,0.3,2.0,2.0,0.626
0.3,0.3,2.1,2.1,0.65
0.3,0.3,2.2,2.2,0.642
0.3,0.3,2.3,2.3,0.664
0.3,0.3,2.4,2.4,0.634
0.3,0.3,2.5,2.5,0.652
0.3,0.3,2.6,2.6,0.664
0.3,0.3,2.7,2.7,0.628
0.3,0.3,2.8,2.8,0.666
0.3,0.3,2.9,2.9,0.682
0.3,0.3,3.0,3.0,0.626
0.3,0.3,3.1,3.1,0.622
0.3,0.3,3.2,3.2,0.64
0.3,0.3,3.3,3.3,0.634
0.3,0.3,3.4,3.4,0.592
0.3,0.3,3.5,3.5,0.616
0.3,0.3,3.6,3.6,0.614
0.3,0.3,3.7,3.7,0.622
0.3,0.3,3.8,3.8,0.644
0.3,0.3,3.9,3.9,0.602
0.3,0.3,4.0,4.0,0.648
0.3,0.3,4.1,4.1,0.644
0.3,0.3,4.2,4.2,0.644
0.3,0.3,4.3,4.3,0.6
0.3,0.3,4.4,4.4,0.614
0.3,0.3,4.5,4.5,0.618
0.3,0.3,4.6,4.6,0.604
0.3,0.3,4.7,4.7,0.544
0.3,0.3,4.8,4.8,0.624
0.3,0.3,4.9,4.9,0.604
0.3,0.3,5.0,5.0,0.604
0.3,0.3,5.1,5.1,0.576
0.3,0.3,5.2,5.2,0.626
0.3,0.3,5.3,5.3,0.606
0.3,0.3,5.4,5.4,0.57
0.3,0.3,5.5,5.5,0.556
0.3,0.3,5.6,5.6,0.618
0.3,0.3,5.7,5.7,0.61
0.3,0.3,5.8,5.8,0.572
0.3,0.3,5.9,5.9,0.59
0.3,0.3,6.0,6.0,0.562
0.3,0.3,6.1,6.1,0.566
0.3,0.3,6.2,6.2,0.568
0.3,0.3,6.3,6.3,0.604
0.3,0.3,6.4,6.4,0.57
0.3,0.3,6.5,6.5,0.54
0.3,0.3,6.6,6.6,0.57
0.3,0.3,6.7,6.7,0.554
0.3,0.3,6.8,6.8,0.56
0.3,0.3,6.9,6.9,0.568
0.3,0.3,7.0,7.0,0.556
0.3,0.3,7.1,7.1,0.534
0.3,0.3,7.2,7.2,0.516
0.3,0.3,7.3,7.3,0.518
0.3,0.3,7.4,7.4,0.512
0.3,0.3,7.5,7.5,0.528
0.3,0.3,7.6,7.6,0.544
0.3,0.3,7.7,7.7,0.546
0.3,0.3,7.8,7.8,0.536
0.3,0.3,7.9,7.9,0.526
0.3,0.3,8.0,8.0,0.526
0.3,0.3,8.1,8.1,0.47
0.3,0.3,8.2,8.2,0.54
0.3,0.3,8.3,8.3,0.466
0.3,0.3,8.4,8.4,0.492
0.3,0.3,8.5,8.5,0.472
0.3,0.3,8.6,8.6,0.488
0.3,0.3,8.7,8.7,0.498
0.3,0.3,8.8,8.8,0.484
0.3,0.3,8.9,8.9,0.512
0.3,0.3,9.0,9.0,0.444
0.3,0.3,9.1,9.1,0.44
0.3,0.3,9.2,9.2,0.46
0.3,0.3,9.3,9.3,0.442
0.3,0.3,9.4,9.4,0.446
0.3,0.3,9.5,9.5,0.45
0.3,0.3,9.6,9.6,0.414
0.3,0.3,9.7,9.7,0.412
0.3,0.3,9.8,9.8,0.446
0.3,0.3,9.9,9.9,0.43
0.3,0.3,10.0,10.0,0.46
0.3,0.3,10.1,10.1,0.43
0.3,0.3,10.2,10.2,0.408
0.3,0.3,10.3,10.3,0.384
0.3,0.3,10.4,10.4,0.416
0.3,0.3,10.5,10.5,0.388
0.3,0.3,10.6,10.6,0.392
0.3,0.3,10.7,10.7,0.412
0.3,0.3,10.8,10.8,0.396
0.3,0.3,10.9,10.9,0.348
0.3,0.3,11.0,11.0,0.402
0.3,0.3,11.1,11.1,0.378
0.3,0.3,11.2,11.2,0.344
0.3,0.3,11.3,11.3,0.342
0.3,0.3,11.4,11.4,0.374
0.3,0.3,11.5,11.5,0.38
0.3,0.3,11.6,11.6,0.38
0.3,0.3,11.7,11.7,0.31
0.3,0.3,11.8,11.8,0.334
0.3,0.3,11.9,11.9,0.304
0.3,0.3,12.0,12.0,0.342
0.3,0.3,12.1,12.1,0.328
0.3,0.3,12.2,12.2,0.344
0.3,0.3,12.3,12.3,0.3
0.3,0.3,12.4,12.4,0.34
0.3,0.3,12.5,12.5,0.338
0.3,0.3,12.6,12.6,0.334
0.3,0.3,12.7,12.7,0.33
0.3,0.3,12.8,12.8,0.298
0.3,0.3,12.9,12.9,0.27
0.3,0.3,13.0,13.0,0.31
0.3,0.3,13.1,13.1,0.272
0.3,0.3,13.2,13.2,0.282
0.3,0.3,13.3,13.3,0.242
0.3,0.3,13.4,13.4,0.244
0.3,0.3,13.5,13.5,0.298
0.3,0.3,13.6,13.6,0.264
0.3,0.3,13.7,13.7,0.234
0.3,0.3,13.8,13.8,0.278
0.3,0.3,13.9,13.9,0.258
0.3,0.3,14.0,14.0,0.27
0.3,0.3,14.1,14.1,0.232
0.3,0.3,14.2,14.2,0.244
0.3,0.3,14.3,14.3,0.224
0.3,0.3,14.4,14.4,0.256
0.3,0.3,14.5,14.5,0.25
0.3,0.3,14.6,14.6,0.222
0.3,0.3,14.7,14.7,0.224
0.3,0.3,14.8,14.8,0.208
0.3,0.3,14.9,14.9,0.214
0.3,0.3,15.0,15.0,0.234
0.4,0.4,0.0,0.0,0.658
0.4,0.4,0.1,0.1,0.646
0.4,0.4,0.2,0.2,0.622
0.4,0.4,0.3,0.3,0.6
0.4,0.4,0.4,0.4,0.666
0.4,0.4,0.5,0.5,0.672
0.4,0.4,0.6,0.6,0.662
0.4,0.4,0.7,0.7,0.666
0.4,0.4,0.8,0.8,0.666
0.4,0.4,0.9,0.9,0.66
0.4,0.4,1.0,1.0,0.67
0.4,0.4,1.1,1.1,0.662
0.4,0.4,1.2,1.2,0.674
0.4,0.4,1.3,1.3,0.646
0.4,0.4,1.4,1.4,0.662
0.4,0.4,1.5,1.5,0.69
0.4,0.4,1.6,1.6,0.612
0.4,0.4,1.7,1.7,0.642
0.4,0.4,1.8,1.8,0.66
0.4,0.4,1.9,1.9,0.662
0.4,0.4,2.0,2.0,0.68
0.4,0.4,2.1,2.1,0.624
0.4,0.4,2.2,2.2,0.67
0.4,0.4,2.3,2.3,0.662
0.4,0.4,2.4,2.4,0.622
0.4,0.4,2.5,2.5,0.66
0.4,0.4,2.6,2.6,0.632
0.4,0.4,2.7,2.7,0.604
0.4,0.4,2.8,2.8,0.664
0.4,0.4,2.9,2.9,0.634
0.4,0.4,3.0,3.0,0.676
0.4,0.4,3.1,3.1,0.658
0.4,0.4,3.2,3.2,0.686
0.4,0.4,3.3,3.3,0.624
0.4,0.4,3.4,3.4,0.606
0.4,0.4,3.5,3.5,0.64
0.4,0.4,3.6,3.6,0.598
0.4,0.4,3.7,3.7,0.594
0.4,0.4,3.8,3.8,0.604
0.4,0.4,3.9,3.9,0.584
0.4,0.4,4.0,4.0,0.64
0.4,0.4,4.1,4.1,0.6
0.4,0.4,4.2,4.2,0.592
0.4,0.4,4.3,4.3,0.622
0.4,0.4,4.4,4.4,0.566
0.4,0.4,4.5,4.5,0.636
0.4,0.4,4.6,4.6,0.608
0.4,0.4,4.7,4.7,0.626
0.4,0.4,4.8,4.8,0.642
0.4,0.4,4.9,4.9,0.598
0.4,0.4,5.0,5.0,0.578
0.4,0.4,5.1,5.1,0.62
0.4,0.4,5.2,5.2,0.6
0.4,0.4,5.3,5.3,0.592
0.4,0.4,5.4,5.4,0.604
0.4,0.4,5.5,5.5,0.522
0.4,0.4,5.6,5.6,0.608
0.4,0.4,5.7,5.7,0.604
0.4,0.4,5.8,5.8,0.602
0.4,0.4,5.9,5.9,0.582
0.4,0.4,6.0,6.0,0.588
0.4,0.4,6.1,6.1,0.578
0.4,0.4,6.2,6.2,0.552
0.4,0.4,6.3,6.3,0.558
0.4,0.4,6.4,6.4,0.58
0.4,0.4,6.5,6.5,0.564
0.4,0.4,6.6,6.6,0.526
0.4,0.4,6.7,6.7,0.548
0.4,0.4,6.8,6.8,0.544
0.4,0.4,6.9,6.9,0.548
0.4,0.4,7.0,7.0,0.542
0.4,0.4,7.1,7.1,0.524
0.4,0.4,7.2,7.2,0.558
0.4,0.4,7.3,7.3,0.562
0.4,0.4,7.4,7.4,0.51
0.4,0.4,7.5,7.5,0.524
0.4,0.4,7.6,7.6,0.542
0.4,0.4,7.7,7.7,0.518
0.4,0.4,7.8,7.8,0.506
0.4,0.4,7.9,7.9,0.54
0.4,0.4,8.0,8.0,0.524
0.4,0.4,8.1,8.1,0.5
0.4,0.4,8.2,8.2,0.494
0.4,0.4,8.3,8.3,0.508
0.4,0.4,8.4,8.4,0.488
0.4,0.4,8.5,8.5,0.514
0.4,0.4,8.6,8.6,0.49
0.4,0.4,8.7,8.7,0.47
0.4,0.4,8.8,8.8,0.522
0.4,0.4,8.9,8.9,0.5
0.4,0.4,9.0,9.0,0.452
0.4,0.4,9.1,9.1,0.488
0.4,0.4,9.2,9.2,0.456
