$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.886
0.0,0.0,0.1,0.1,0.854
0.0,0.0,0.2,0.2,0.87
0.0,0.0,0.3,0.3,0.858
0.0,0.0,0.4,0.4,0.852
0.0,0.0,0.5,0.5,0.85
0.0,0.0,0.6,0.6,0.854
0.0,0.0,0.7,0.7,0.852
0.0,0.0,0.8,0.8,0.852
0.0,0.0,0.9,0.9,0.796
0.0,0.0,1.0,1.0,0.782
0.0,0.0,1.1,1.1,0.798
0.0,0.0,1.2,1.2,0.794
0.0,0.0,1.3,1.3,0.748
0.0,0.0,1.4,1.4,0.722
0.0,0.0,1.5,1.5,0.746
0.0,0.0,1.6,1.6,0.692
0.0,0.0,1.7,1.7,0.664
0.0,0.0,1.8,1.8,0.674
0.0,0.0,1.9,1.9,0.604
0.0,0.0,2.0,2.0,0.636
0.0,0.0,2.1,2.1,0.586
0.0,0.0,2.2,2.2,0.57
0.0,0.0,2.3,2.3,0.472
0.0,0.0,2.4,2.4,0.478
0.0,0.0,2.5,2.5,0.494
0.0,0.0,2.6,2.6,0.444
0.0,0.0,2.7,2.7,0.442
0.0,0.0,2.8,2.8,0.412
0.0,0.0,2.9,2.9,0.408
0.0,0.0,3.0,3.0,0.388
0.0,0.0,3.1,3.1,0.354
0.0,0.0,3.2,3.2,0.338
0.0,0.0,3.3,3.3,0.304
0.0,0.0,3.4,3.4,0.282
0.0,0.0,3.5,3.5,0.264
0.0,0.0,3.6,3.6,0.252
0.0,0.0,3.7,3.7,0.244
0.0,0.0,3.8,3.8,0.228
0.0,0.0,3.9,3.9,0.256
0.0,0.0,4.0,4.0,0.214
0.0,0.0,4.1,4.1,0.206
0.0,0.0,4.2,4.2,0.2
0.0,0.0,4.3,4.3,0.214
0.0,0.0,4.4,4.4,0.192
0.0,0.0,4.5,4.5,0.2
0.0,0.0,4.6,4.6,0.188
0.0,0.0,4.7,4.7,0.218
0.0,0.0,4.8,4.8,0.224
0.0,0.0,4.9,4.9,0.204
0.0,0.0,5.0,5.0,0.206
0.0,0.0,5.1,5.1,0.224
0.0,0.0,5.2,5.2,0.196
0.0,0.0,5.3,5.3,0.188
0.0,0.0,5.4,5.4,0.208
0.0,0.0,5.5,5.5,0.188
0.0,0.0,5.6,5.6,0.172
0.0,0.0,5.7,5.7,0.21
0.0,0.0,5.8,5.8,0.158
0.0,0.0,5.9,5.9,0.186
0.0,0.0,6.0,6.0,0.24
0.0,0.0,6.1,6.1,0.22
0.0,0.0,6.2,6.2,0.21
0.0,0.0,6.3,6.3,0.206
0.0,0.0,6.4,6.4,0.196
0.0,0.0,6.5,6.5,0.17
0.0,0.0,6.6,6.6,0.204
0.0,0.0,6.7,6.7,0.174
0.0,0.0,6.8,6.8,0.2
0.0,0.0,6.9,6.9,0.214
0.0,0.0,7.0,7.0,0.182
0.0,0.0,7.1,7.1,0.178
0.0,0.0,7.2,7.2,0.184
0.0,0.0,7.3,7.3,0.224
0.0,0.0,7.4,7.4,0.194
0.0,0.0,7.5,7.5,0.19
0.0,0.0,7.6,7.6,0.222
0.0,0.0,7.7,7.7,0.17
0.0,0.0,7.8,7.8,0.182
0.0,0.0,7.9,7.9,0.182
0.0,0.0,8.0,8.0,0.178
0.0,0.0,8.1,8.1,0.212
0.0,0.0,8.2,8.2,0.178
0.0,0.0,8.3,8.3,0.19
0.0,0.0,8.4,8.4,0.194
0.0,0.0,8.5,8.5,0.206
0.0,0.0,8.6,8.6,0.198
0.0,0.0,8.7,8.7,0.208
0.0,0.0,8.8,8.8,0.192
0.0,0.0,8.9,8.9,0.2
0.0,0.0,9.0,9.0,0.248
0.0,0.0,9.1,9.1,0.178
0.0,0.0,9.2,9.2,0.194
0.0,0.0,9.3,9.3,0.194
0.0,0.0,9.4,9.4,0.198
0.0,0.0,9.5,9.5,0.174
0.0,0.0,9.6,9.6,0.174
0.0,0.0,9.7,9.7,0.222
0.0,0.0,9.8,9.8,0.196
0.0,0.0,9.9,9.9,0.19
0.0,0.0,10.0,10.0,0.218
0.0,0.0,10.1,10.1,0.214
0.0,0.0,10.2,10.2,0.142
0.0,0.0,10.3,10.3,0.204
0.0,0.0,10.4,10.4,0.184
0.0,0.0,10.5,10.5,0.188
