$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate,Average p-value,Wrong_ranking_cost_without_no_proportion
0.0,0.0,0.0,0.0,0.872,,
0.0,0.0,0.1,0.1,0.878,,
0.0,0.0,0.2,0.2,0.864,,
0.0,0.0,0.3,0.3,0.844,,
0.0,0.0,0.4,0.4,0.84,,
0.0,0.0,0.5,0.5,0.846,,
0.0,0.0,0.6,0.6,0.814,,
0.0,0.0,0.7,0.7,0.784,,
0.0,0.0,0.8,0.8,0.76,,
0.0,0.0,0.9,0.9,0.774,,
0.0,0.0,1.0,1.0,0.782,,
0.0,0.0,1.1,1.1,0.752,,
0.0,0.0,1.2,1.2,0.712,,
0.0,0.0,1.3,1.3,0.662,,
0.0,0.0,1.4,1.4,0.62,,
0.0,0.0,1.5,1.5,0.642,,
0.0,0.0,1.6,1.6,0.548,,
0.0,0.0,1.7,1.7,0.526,,
0.0,0.0,1.8,1.8,0.502,,
0.0,0.0,1.9,1.9,0.474,,
0.0,0.0,2.0,2.0,0.464,,
0.0,0.0,2.1,2.1,0.334,,
0.0,0.0,2.2,2.2,0.364,,
0.0,0.0,2.3,2.3,0.308,,
0.0,0.0,2.4,2.4,0.314,,
0.0,0.0,2.5,2.5,0.264,,
0.0,0.0,2.6,2.6,0.272,,
0.0,0.0,2.7,2.7,0.236,,
0.0,0.0,2.8,2.8,0.22,,
0.0,0.0,2.9,2.9,0.25,,
0.0,0.0,3.0,3.0,0.226,,
0.0,0.0,3.1,3.1,0.16,,
0.0,0.0,3.2,3.2,0.148,,
0.0,0.0,3.3,3.3,0.152,,
0.0,0.0,3.4,3.4,0.18,,
0.0,0.0,3.5,3.5,0.144,,
0.0,0.0,3.6,3.6,0.14,,
0.0,0.0,3.7,3.7,0.14,,
0.0,0.0,3.8,3.8,0.13,,
0.0,0.0,3.9,3.9,0.146,,
0.0,0.0,4.0,4.0,0.16,,
0.0,0.0,4.1,4.1,0.136,,
0.0,0.0,4.2,4.2,0.124,,
0.0,0.0,4.3,4.3,0.116,,
0.0,0.0,4.4,4.4,0.13,,
0.0,0.0,4.5,4.5,0.162,,
0.0,0.0,4.6,4.6,0.112,,
0.0,0.0,4.7,4.7,0.138,,
0.0,0.0,4.8,4.8,0.136,,
0.0,0.0,4.9,4.9,0.098,,
0.0,0.0,5.0,5.0,0.104,,
0.0,0.0,5.1,5.1,0.122,,
0.0,0.0,5.2,5.2,0.128,,
0.0,0.0,5.3,5.3,0.142,,
0.0,0.0,5.4,5.4,0.128,,
0.0,0.0,5.5,5.5,0.128,,
0.0,0.0,5.6,5.6,0.12,,
0.0,0.0,5.7,5.7,0.114,,
0.0,0.0,5.8,5.8,0.14,,
0.0,0.0,5.9,5.9,0.11,,
0.0,0.0,6.0,6.0,0.136,,
0.0,0.0,6.1,6.1,0.128,,
0.0,0.0,6.2,6.2,0.124,,
0.0,0.0,6.3,6.3,0.108,,
0.0,0.0,6.4,6.4,0.112,,
0.0,0.0,6.5,6.5,0.114,,
0.0,0.0,6.6,6.6,0.136,,
0.0,0.0,6.7,6.7,0.122,,
0.0,0.0,6.8,6.8,0.126,,
0.0,0.0,6.9,6.9,0.14,,
0.0,0.0,7.0,7.0,0.122,,
0.0,0.0,7.1,7.1,0.098,,
0.0,0.0,7.2,7.2,0.126,,
0.0,0.0,7.3,7.3,0.128,,
0.0,0.0,7.4,7.4,0.118,,
0.0,0.0,7.5,7.5,0.116,,
0.0,0.0,7.6,7.6,0.144,,
0.0,0.0,7.7,7.7,0.12,,
0.0,0.0,7.8,7.8,0.128,,
0.0,0.0,7.9,7.9,0.128,,
0.0,0.0,8.0,8.0,0.1,,
0.0,0.0,8.1,8.1,0.134,,
0.0,0.0,8.2,8.2,0.134,,
0.0,0.0,8.3,8.3,0.118,,
0.0,0.0,8.4,8.4,0.122,,
0.0,0.0,8.5,8.5,0.128,,
0.0,0.0,8.6,8.6,0.124,,
0.0,0.0,8.7,8.7,0.138,,
0.0,0.0,8.8,8.8,0.116,,
0.0,0.0,8.9,8.9,0.134,,
0.0,0.0,9.0,9.0,0.118,,
0.0,0.0,9.1,9.1,0.12,,
0.0,0.0,9.2,9.2,0.116,,
0.0,0.0,9.3,9.3,0.114,,
0.0,0.0,9.4,9.4,0.108,,
0.0,0.0,9.5,9.5,0.114,,
0.0,0.0,9.6,9.6,0.138,,
0.0,0.0,9.7,9.7,0.138,,
0.0,0.0,9.8,9.8,0.11,,
0.0,0.0,9.9,9.9,0.134,,
0.0,0.0,10.0,10.0,0.122,,
0.0,0.0,10.1,10.1,0.122,,
0.0,0.0,10.2,10.2,0.12,,
0.0,0.0,10.3,10.3,0.132,,
0.0,0.0,10.4,10.4,0.118,,
0.0,0.0,10.5,10.5,0.118,,
0.0,0.0,10.6,10.6,0.144,,
0.0,0.0,10.7,10.7,0.116,,
0.0,0.0,10.8,10.8,0.116,,
0.0,0.0,10.9,10.9,0.124,,
0.0,0.0,11.0,11.0,0.134,,
0.0,0.0,11.1,11.1,0.098,,
0.0,0.0,11.2,11.2,0.108,,
0.0,0.0,11.3,11.3,0.106,,
0.0,0.0,11.4,11.4,0.104,,
0.0,0.0,11.5,11.5,0.12,,
0.0,0.0,11.6,11.6,0.124,,
0.0,0.0,11.7,11.7,0.142,,
0.0,0.0,11.8,11.8,0.12,,
0.0,0.0,11.9,11.9,0.12,,
0.0,0.0,12.0,12.0,0.11,,
0.0,0.0,12.1,12.1,0.146,,
0.0,0.0,12.2,12.2,0.112,,
0.0,0.0,12.3,12.3,0.122,,
0.0,0.0,12.4,12.4,0.118,,
0.0,0.0,12.5,12.5,0.124,,
0.0,0.0,12.6,12.6,0.1,,
0.0,0.0,12.7,12.7,0.122,,
0.0,0.0,12.8,12.8,0.126,,
0.0,0.0,12.9,12.9,0.124,,
