$\sigma_{h_1}$,$\sigma_{h_2}$,$\sigma_{x_1}$,$\sigma_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.486
0.0,0.0,0.1,0.1,0.748
0.0,0.0,0.2,0.2,0.75
0.0,0.0,0.3,0.3,0.74
0.0,0.0,0.4,0.4,0.762
0.0,0.0,0.5,0.5,0.762
0.0,0.0,0.6,0.6,0.756
0.0,0.0,0.7,0.7,0.708
0.0,0.0,0.8,0.8,0.74
0.0,0.0,0.9,0.9,0.782
0.0,0.0,1.0,1.0,0.75
0.0,0.0,1.1,1.1,0.778
0.0,0.0,1.2,1.2,0.772
0.0,0.0,1.3,1.3,0.76
0.0,0.0,1.4,1.4,0.742
0.0,0.0,1.5,1.5,0.768
0.0,0.0,1.6,1.6,0.744
0.0,0.0,1.7,1.7,0.754
0.0,0.0,1.8,1.8,0.764
0.0,0.0,1.9,1.9,0.776
0.0,0.0,2.0,2.0,0.752
0.0,0.0,2.1,2.1,0.74
0.0,0.0,2.2,2.2,0.75
0.0,0.0,2.3,2.3,0.786
0.0,0.0,2.4,2.4,0.73
0.0,0.0,2.5,2.5,0.75
0.0,0.0,2.6,2.6,0.77
0.0,0.0,2.7,2.7,0.732
0.0,0.0,2.8,2.8,0.734
0.0,0.0,2.9,2.9,0.748
0.0,0.0,3.0,3.0,0.762
0.0,0.0,3.1,3.1,0.732
0.0,0.0,3.2,3.2,0.77
0.0,0.0,3.3,3.3,0.794
0.0,0.0,3.4,3.4,0.764
0.0,0.0,3.5,3.5,0.72
0.0,0.0,3.6,3.6,0.754
0.0,0.0,3.7,3.7,0.75
0.0,0.0,3.8,3.8,0.776
0.0,0.0,3.9,3.9,0.76
0.0,0.0,4.0,4.0,0.752
0.0,0.0,4.1,4.1,0.764
0.0,0.0,4.2,4.2,0.746
0.0,0.0,4.3,4.3,0.762
0.0,0.0,4.4,4.4,0.768
0.0,0.0,4.5,4.5,0.736
0.0,0.0,4.6,4.6,0.762
0.0,0.0,4.7,4.7,0.794
0.0,0.0,4.8,4.8,0.736
0.0,0.0,4.9,4.9,0.784
0.0,0.0,5.0,5.0,0.714
0.0,0.0,5.1,5.1,0.738
0.0,0.0,5.2,5.2,0.758
0.0,0.0,5.3,5.3,0.746
0.0,0.0,5.4,5.4,0.762
0.0,0.0,5.5,5.5,0.738
0.0,0.0,5.6,5.6,0.756
0.0,0.0,5.7,5.7,0.77
0.0,0.0,5.8,5.8,0.746
0.0,0.0,5.9,5.9,0.768
0.0,0.0,6.0,6.0,0.746
0.0,0.0,6.1,6.1,0.732
0.0,0.0,6.2,6.2,0.76
0.0,0.0,6.3,6.3,0.74
0.0,0.0,6.4,6.4,0.74
